date,number
2022-07-17,66327
2022-07-16,77064
2022-07-15,38114
2022-07-14,32850
2022-07-13,95155
2022-07-12,23151
2022-07-11,02801
2022-07-10,17772
2022-07-09,10295
2022-07-08,66224
2022-07-07,91796
2022-07-06,76796
2022-07-05,68404
2022-07-04,50239
2022-07-03,86690
2022-07-02,50554
2022-07-01,01697
2022-06-30,58839
2022-06-29,38892
2022-06-28,13149
2022-06-27,62171
2022-06-26,46970
2022-06-25,36768
2022-06-24,49677
2022-06-23,97140
2022-06-22,50846
2022-06-21,81571
2022-06-20,71808
2022-06-19,66449
2022-06-18,87190
2022-06-17,68274
2022-06-16,90524
2022-06-15,79716
2022-06-14,52762
2022-06-13,89927
2022-06-12,17818
2022-06-11,29224
2022-06-10,08391
2022-06-09,08181
2022-06-08,28977
2022-06-07,87525
2022-06-06,11584
2022-06-05,05479
2022-06-04,60832
2022-06-03,89242
2022-06-02,51768
2022-06-01,31918
2022-05-31,39725
2022-05-30,12512
2022-05-29,87354
2022-05-28,57318
2022-05-27,29667
2022-05-26,41717
2022-05-25,87109
2022-05-24,97218
2022-05-23,29213
2022-05-22,24547
2022-05-21,85198
2022-05-20,78195
2022-05-19,49968
2022-05-18,69049
2022-05-17,58553
2022-05-16,17713
2022-05-15,93649
2022-05-14,30775
2022-05-13,29436
2022-05-12,55065
2022-05-11,27724
2022-05-10,35106
2022-05-09,05659
2022-05-08,51139
2022-05-07,73301
2022-05-06,20116
2022-05-05,78054
2022-05-04,79110
2022-05-03,48243
2022-05-02,94479
2022-05-01,81691
2022-04-30,59924
2022-04-29,58339
2022-04-28,47202
2022-04-27,02541
2022-04-26,32047
2022-04-25,99368
2022-04-24,97285
2022-04-23,77318
2022-04-22,31695
2022-04-21,89291
2022-04-20,58953
2022-04-19,78864
2022-04-18,80436
2022-04-17,87347
2022-04-16,36554
2022-04-15,54045
2022-04-14,96764
2022-04-13,76864
2022-04-12,81358
2022-04-11,86317
2022-04-10,25295
2022-04-09,34194
