number,count
00,92
01,98
02,89
03,85
04,75
05,87
06,86
07,76
08,86
09,91
10,98
11,85
12,72
13,71
14,87
15,90
16,92
17,98
18,85
19,75
20,64
21,78
22,84
23,78
24,98
25,72
26,72
27,78
28,62
29,81
30,81
31,71
32,93
33,66
34,88
35,72
36,101
37,73
38,81
39,101
40,62
41,82
42,74
43,83
44,78
45,85
46,74
47,82
48,81
49,90
50,74
51,64
52,76
53,85
54,91
55,89
56,89
57,85
58,77
59,84
60,98
61,70
62,83
63,77
64,90
65,95
66,96
67,78
68,79
69,65
70,96
71,85
72,72
73,88
74,72
75,78
76,71
77,76
78,85
79,73
80,80
81,90
82,104
83,79
84,90
85,84
86,73
87,80
88,84
89,82
90,73
91,96
92,78
93,79
94,87
95,81
96,88
97,85
98,88
99,85
